id;f_0;f_1;f_2;f_3;f_4;f_5;f_6;f_7;f_8;f_9
b03a97185bcd4e3297fffcbe7360c64d;F;0.495;0.4;1550.0;0.6445;0.242;0.1325;0.205;SHORT;1.0251125
84ab6aeda37c4943847d204c120410df;M;0.63;0.515;1550.0;1.259;0.4105;0.197;0.41;SHORT;2.006427
dcbb537ee552433780fde6dfb1d941c6;F;0.595;0.465;1550.0;1.026;0.4645;0.112;0.305;SHORT;2.430176
e9cc5c8b303045a783e11df15389cd39;M;0.36;0.295;1000.0;0.2105;0.066;0.0525;0.075;SHORT;1.451025
bd8ca64a21fd4edeb3db59ce5db871bc;M;0.6;0.51;1850.0;1.285;0.6095;0.2745;0.315;SHORT;2.7014009999999997
e6bf558951e34e45b0f870db8dc221e3;I;0.47;0.355;1450.0;0.4485;0.156;0.102;0.123;SHORT;1.921616
6c588a1b00354151a09de627f20c55c3;F;0.56;0.445;1800.0;0.903;0.3575;0.2045;0.295;SHORT;2.4072810000000002
bc957a9c8b8a4d72832ec92857fe9b2d;M;0.325;0.24;850.0000000000001;0.173;0.0795;0.038;0.05;SHORT;0.9793320000000001
af0910dfabec4f34baf4b4cbb12893c7;M;0.52;0.415;1750.0;0.753;0.258;0.171;0.255;SHORT;2.196964
d51fcf28f0474858a7447e8494e995d5;I;0.395;0.31;950.0;0.313;0.131;0.072;0.093;SHORT;0.8003680000000001
5098bc956bd1476280ba0f0c0e6f7fca;I;0.235;0.175;550.0;0.067;0.027;0.0125;0.018;SHORT;0.70546875
3a3aa2a41da742109e781565fe5ead2b;F;0.56;0.455;1250.0;0.943;0.344;0.129;0.375;SHORT;1.1532820000000001
d5f4f20a28604d53ab18f2381adda03f;F;0.655;;1800.0;1.55;0.508;0.314;0.445;SHORT;1.507192
74d2fa9d7dba464b825e7b71a5ce4398;I;0.57;0.45;1450.0;0.751;0.2825;0.2195;0.2215;SHORT;1.85454075
6eabf6764826495f92a64c7996eab9f4;F;0.71;0.555;1700.0000000000002;1.47;0.5375;0.38;0.431;SHORT;4.271999999999999
27bdd6e97f8c4f8c8b626e255f2434d5;M;0.61;0.47;1500.0;1.1625;0.565;0.258;0.3085;SHORT;2.7062559999999998
307285f7309a4905808ef4012c79538c;M;0.33;0.25;900.0;0.197;0.085;0.041;0.0605;SHORT;0.995043
00df347ec4f94197a0d724b15a022b8b;I;0.355;0.27;750.0;0.1775;0.079;0.0315;0.054;SHORT;1.77996125
6be0dd49ca3644f6810906f379784634;I;0.235;;600.0;0.058;0.022;0.0145;0.018;SHORT;0.9408409999999999
55f1f6f8498c4b69a871ea1d7bdf23c0;M;0.56;;1650.0;0.86;0.4015;0.1695;0.245;SHORT;2.9436512500000003
658cc203e16443c192e8f2aaa1ee0e04;F;0.6;0.475;1800.0;1.1805;0.4345;0.2475;0.425;SHORT;2.645025
64e97d13ecd5446d97f6d6abff7fda8b;F;0.545;0.445;1750.0;0.8525;0.3465;0.189;0.295;SHORT;2.322884
44c0b4468fac4b7cb1ef3f3a289a07b4;F;0.72;0.575;1800.0;1.05;0.732;0.3605;0.501;TALL;3.399841
2d6511c4da5e4f3b8f1777f818abe4d8;F;0.37;;1150.0;0.25;0.111;0.057;0.075;SHORT;0.746498
643eec1f8fed42e38fb0384ce12d42ac;M;0.53;;1500.0;0.8315;0.352;0.187;0.2525;SHORT;1.6949070000000002
39957aa6dbe746c78ea532a23f74f788;I;0.465;;1000.0;0.5055;0.234;0.11;0.14;SHORT;2.55
24ffda03b57d4c7b91f5d5084df7d3eb;M;0.535;0.405;1850.0;0.8345;0.3175;0.1725;0.29;SHORT;2.2590250000000003
60b76058258c41fbaf2e12808b818ff6;M;0.745;0.575;2000.0;1.884;0.954;0.336;0.495;TALL;3.431584
458be56841434f789e21b5f35408b49c;F;0.61;0.485;2100.0;1.45;0.535;0.2205;0.515;SHORT;1.3172405
61ce38c6954a400bbd90c136be35ba9a;I;0.555;0.425;1450.0;0.7905;0.3485;0.1765;0.225;SHORT;1.7584567500000001
47ba1a9e92d74f24aa406761db31992e;F;0.58;0.445;1350.0;0.95;0.484;0.182;0.2325;SHORT;2.452496
ff888140bf0a4a9f992fcc813d1f3c59;F;0.61;0.47;1950.0;1.35;0.469;0.3315;0.398;SHORT;2.15967675
ee40e04adeba42bc9fa0f2a5c4341e7b;I;0.405;0.3;900.0;0.2885;0.138;0.0635;0.0765;SHORT;1.6361290000000002
b1778ea2457f40bcad3fe5f50894c9e6;F;0.62;0.48;1650.0;1.043;0.4835;0.221;0.31;SHORT;2.675364
3d1b58992446482dace0a0222fced1c2;M;0.585;0.51;1600.0;1.218;0.639;0.241;0.3;SHORT;1.286162
5a71f1618f734735a4d4a335742ba3eb;M;0.575;0.46;1550.0;0.892;0.4415;0.176;0.22;SHORT;2.423904
d21837be63ef43c9bb59f019a7ec27bb;M;0.67;0.505;1600.0;1.85;0.6255;0.311;0.308;SHORT;3.833605
8b7aea582cde4f86a3811acb51a7469f;F;0.625;0.49;1750.0;1.233;0.5565;0.247;0.365;SHORT;3.430045
c904c0e892964d96a604f284eaa137ab;M;0.54;0.405;1550.0;0.9715;0.3225;0.194;0.29;SHORT;1.155272
10d119b831b84f45a725fe526355a315;M;0.67;0.5;1900.0;1.519;0.616;0.388;0.415;TALL;2.4616320000000003
