id;f_10
00067bf63b9a4f51bc649c8256e983bd;Semi-classical states for the nonlinear Choquard equations: existence, multiplicity and concentration at a potential well
0015f1b5b2254a90b07bd0d218520646;A Polynomial-Time Algorithm for Solving the Minimal Observability Problem in Conjunctive Boolean Networks
00538100f3084bcea0bbd6c20d542566;Exactly Robust Kernel Principal Component Analysis
0056cfd241574ef8880e283d80231272;Learning Structural Node Embeddings Via Diffusion Wavelets
00674e7b63eb467b945da875840c2bbf;Adaptation to Easy Data in Prediction with Limited Advice
00904177b76a4798adf9c5b9d4f7fc8d;
00931899fb444a26bbdc634e5496543e;Effects of anisotropy in spin molecular-orbital coupling on effective spin models of trinuclear organometallic complexes
00a42e5e3b204b8d9c4a3008de98679f;Online Spatial Concept and Lexical Acquisition with Simultaneous Localization and Mapping
00acd76108524c8ab91827a238b6e809;Intensity estimation of transaction arrivals on the intraday electricity market
00b4ff741b464600a2145233234a2e61;Quasiconvex elastodynamics: weak-strong uniqueness for measure-valued solutions
00d67b37b0d341e492343fc445b7a558;Quasi Maximum-Likelihood Estimation of Dynamic Panel Data Models
00dc40e48f6645f7961e2a85a0ac33e0;Variations of BPS structure and a large rank limit
00ddea7a5bcc46cebec7709a62b4e6b7;Like trainer, like bot? Inheritance of bias in algorithmic content moderation
00df347ec4f94197a0d724b15a022b8b;Model Predictive Control meets robust Kalman filtering
00ea44170d1f40d6bac975ed9dc899d0;A Faster Implementation of Online Run-Length Burrows-Wheeler Transform
00ed984a1a474be9968f59c8a9777ba1;Spaces which invert weak homotopy equivalences
00f67094108c4b1981bb5f83931da5e2;Super Jack-Laurent Polynomials
00f6e96f474743eebb2bc051c098d6a7;Convergence rates of least squares regression estimators with heavy-tailed errors
0106cd5298cb41ee9bcec593c855c016;Weighted Data Normalization Based on Eigenvalues for Artificial Neural Network Classification
0136a540640d46d78a1e1e47fda6db38;Self-similar minimizers of a branched transport functional
014331f866254deba548328c0aa8826c;On the economics of knowledge creation and sharing
0148640525fe4de7ae2cdf297b6f691a;Explicit cocycle formulas on finite abelian groups with applications to braided linear Gr-categories and Dijkgraaf-Witten invariants
014f0b43af4a40c0b325f3e9f3dd81b5;Self-exciting Point Processes: Infections and Implementations
015bb2c03fb344678222e83ecaa4217b;Forecasting Crime with Deep Learning
016ff00b6d5e4b0e84e9c528e1643c95;Traffic models with adversarial vehicle behaviour
018d97d1bc9b4ba78949fc7af9352992;Out-colourings of Digraphs
0193aebdbb3b4eb3b59dd5fb7a661118;Intuitive Hand Teleoperation by Novice Operators Using a Continuous Teleoperation Subspace
01a88612898445d49a1ac92976e99f3f;Modelling diverse sources of Clostridium difficile in the community: importance of animals, infants and asymptomatic carriers
01ac8740d6154cce9cc57a8bb396e951;A Debris Backwards Flow Simulation System for Malaysia Airlines Flight 370
01b086d1549e4795977b0b4d6d577b13;FNS: an event-driven spiking neural network framework for efficient simulations of large-scale brain models
01b4de3a005e41e3a16a8093fa92365e;Fourth-order time-stepping for stiff PDEs on the sphere
01d2b53613394ba5ac23c080ad0d0e58;
01d538b4090b4ee3a75c0103554f365d;Decoupled Greedy Learning of CNNs
01dd05c1a16947309ea38f93c933216b;Predicting Individual Physiologically Acceptable States for Discharge from a Pediatric Intensive Care Unit
01ee98603547415cbb58852fb064b5c7;
0204598acea847cdac97cad7da586796;
020ba8a5af0046de9eb10174cf685290;Error Analysis of the Stochastic Linear Feedback Particle Filter
0239828bba4d44c9a9e4a089e758cef2;Millisecond Pulsars as Standards: Timing, positioning and communication
0244425e6aeb41939dace1629042a319;Deforming 3-manifolds of bounded geometry and uniformly positive scalar curvature
024462b71594478db60d18dc41d485ca;Planning Hybrid Driving-Stepping Locomotion on Multiple Levels of Abstraction
02491b61adc446058ec0be0dd002a3c8;Devam vs. Tamam: 2018 Turkish Elections
0249c94f526442bf81e82e4d27457da1;Ultra-wide plasmonic tuning of semiconductor metasurface resonators on epsilon near zero media
026ad9bdadbb4fdbb2edf9e7a128399b;Time-efficient Garbage Collection in SSDs
027f1fea65e445bbaa3fc7be4900b9f7;Number of thermodynamic states in the three-dimensional Edwards-Anderson spin glass
0293ef652ac64695b5c887ceed75dfc3;Efficient Estimation for Dimension Reduction with Censored Data
02a1d1fd71624f3884a7a1888c6ca09c;Geometric Properties of Isostables and Basins of Attraction of Monotone Systems
02afbe8ed98744768aad6983a5c4f984;
02b158e422004955b98dd69491e7b018;Coresets for Dependency Networks
02b703bb7cf846ad9aca6444b629e544;Scraping and Preprocessing Commercial Auction Data for Fraud Classification
02c411dc971d4cdca9e6052c92f41fc0;A Restaurant Process Mixture Model for Connectivity Based Parcellation of the Cortex
02c4bf4c0a8a4730874570ceb671877e;Quantitative stochastic homogenization and regularity theory of parabolic equations
02c9f92e340b41238647fb682a1a7d85;Eva-CiM: A System-Level Energy Evaluation Framework for Computing-in-Memory Architectures
02d3a0319887482990062b68720bcf4f;Implicit Quantile Networks for Distributional Reinforcement Learning
03041934cb674fdcbd52eef50e1ca07f;Knowledge Engineering for Hybrid Deductive Databases
0316521f608442d7aa596cc32ab19e9a;
0316f43da4874919b4b4c632e3237398;Randomized Kernel Methods for Least-Squares Support Vector Machines
032c91f953f249909ff123e76a214d34;Tracking Gaze and Visual Focus of Attention of People Involved in Social Interaction
0340a9d869374a988caf6bcc4af6ea68;A level set-based structural optimization code using FEniCS
0342dfb0f1fd4215959ab49388ec9245;A direct method to compute the galaxy count angular correlation function including redshift-space distortions
0360b0a830564cbcac497ae96e73f4d9;Forward Thinking: Building and Training Neural Networks One Layer at a Time
0380f0eca7eb4c5a92c1ff9f364431ee;
03813035c6ca438fa8f625e83ae5d9b3;A Hamiltonian approach for the Thermodynamics of AdS black holes
03a383159ae6491cb347a195f1560326;Formal Methods for Adaptive Control of Dynamical Systems
03cc041da81b4562b7170386ea4b31e5;Homogeneous Kobayashi-hyperbolic manifolds with high-dimensional group of holomorphic automorphisms
03cce834dfca4455934d7375b51d44bf;
03d30f8306934a7d9529d1c0b10b311b;A Stochastic Model for Short-Term Probabilistic Forecast of Solar Photo-Voltaic Power
03df8c9494f94f15a4b2b7774fe6a7c0;Flow-Sensitive Composition of Thread-Modular Abstract Interpretation
03e7a7538cfb4ffcb669b640dd70bb4f;Precision of the ENDGame: Mixed-precision arithmetic in the iterative solver of the Unified Model
03f53ecaac2e43f3bf313f7119bd4b96;Bridging the Gap Between Value and Policy Based Reinforcement Learning
03fd67f1e80643cfa53524b972a407b4;Matrix Completion via Factorizing Polynomials
0419b760f9e4483f89d7517a78cefab5;Functional limit laws for the increments of Lévy processes
041e245208a14eb086dcea6f30f3f271;Predicting Expressive Speaking Style From Text In End-To-End Speech Synthesis
041fda1fff6b4bfcbfbec38f7303afd2;
04294d6397e840e3a7f3d0e86d47b518;The Frechet distribution: Estimation and Application an Overview
0433fc3ef19a4369a6f134e38b609c42;Typesafe Abstractions for Tensor Operations
043d0b3371014f6cac07df97db2cafc0;Optimal Transport on Discrete Domains
0470f84c60bb4b5eb2563bbc210c954b;Unified Backpropagation for Multi-Objective Deep Learning
0475316b01114ad9b62693b20f165019;
048b9bc3ece34c3e8c42b00069f319c5;Efficiently Learning Mixtures of Mallows Models
04a0667e37274efb8f1625ee86f46cb0;Approximation Techniques for Stochastic Analysis of Biological Systems
04b614b342d94cc099c18e34695acc44;Space-Bounded OTMs and REG$^{\infty}$
04cc0bf0d44248f595bf6d3fa3338b92;Waring's problem for unipotent algebraic groups
04d815b7ee1c405ab9ef0b45edda0faa;
04df836ca4d24768ab083d2568bfb322;Ensemble Estimation of Mutual Information
04ec90930ae1430496a1f0bd00f8f746;On general $(α, β)$-metrics of weak Landsberg type
04f5187769144c7184679bc4cd0b1661;Coherence and its Role in Excitation Energy Transfer in Fenna-Mathews-Olson Complex
050feebfd940491588f26a28c88fb884;
052186635bcc4574b90d1abb6e80dae8;Deep Structured Learning for Facial Action Unit Intensity Estimation
05235e7fb011414b9affc38ea7d77176;Characteristic functions as bounded multipliers on anisotropic spaces
0527e0c0a1b748a38a578c76c3c84d69;Community Detection in Hypergraphs, Spiked Tensor Models, and Sum-of-Squares
052ce7f3bf6940a1ab3fb495510f9d25;Conducting Highly Principled Data Science: A Statistician's Job and Joy
052f6150ab984712ad419b27ade82321;Toward Incorporation of Relevant Documents in word2vec
0531a31c71fe40c09b350f7a31233e0f;
0546dabedc804c97a9f1d6a6a967db92;Nesterov's Smoothing Technique and Minimizing Differences of Convex Functions for Hierarchical Clustering
0555994cd10b4254a87dadd47ebf8261;On the Number of Bins in Equilibria for Signaling Games
05596fbade6c4ce28f9768b2908c73d2;Spectral Decimation for Families of Self-Similar Symmetric Laplacians on the Sierpinski Gasket
056022ed99ac4b7d9ead7474bbcfd2cb;Orthogonal groups in characteristic 2 acting on polytopes of high rank
0560766ef49e4a7baf73d948fbfc6cb6;Improving Regret Bounds for Combinatorial Semi-Bandits with Probabilistically Triggered Arms and Its Applications
05703d7c02e9497da813c71522c0dc29;
0574d9ea407349008826bb62cbf20495;Objectness Scoring and Detection Proposals in Forward-Looking Sonar Images with Convolutional Neural Networks
058c96f9190b439abef1beea99f556d1;On smile properties of volatility derivatives and exotic products: understanding the VIX skew
0594162a7ea0458db9ea43bb0fde2521;On the Complexity of Sampling Nodes Uniformly from a Graph
05a05da45a0d405981e178216f6cdcaa;Gradient estimates for singular quasilinear elliptic equations with measure data
05a158f0dbe24bf4bc243e6180370b72;On sparsity and power-law properties of graphs based on exchangeable point processes
05aebcbe819944e0bf95b1f0a5af47f0;StackInsights: Cognitive Learning for Hybrid Cloud Readiness
05b60627d0e649d88c131ad009edc07f;WASP-12b: A Mass-Losing Extremely Hot Jupiter
05c6e64a539940faa884a76f7b6f8913;Rock-Paper-Scissors Random Walks on Temporal Multilayer Networks
05d735fd4129420aa80cc48bc3c8d720;Treatment Effect Quantification for Time-to-event Endpoints -- Estimands, Analysis Strategies, and beyond
05d9895b2e684decbb899b535ddbe4cc;Underwater Surveying via Bearing only Cooperative Localization
05db6efc7ced46cabbe06d5083cfa6c1;Surface defects and elliptic quantum groups
05ec0bf6fefc40a89aad7da2f25afbb8;Applying DCOP to User Association Problem in Heterogeneous Networks with Markov Chain Based Algorithm
05edc5f4265242a185082144e93586f6;On the Statistical Efficiency of Optimal Kernel Sum Classifiers
05eff722b23042a783f0257048b012f7;Switching between Limit Cycles in a Model of Running Using Exponentially Stabilizing Discrete Control Lyapunov Function
06219729088f4efca7be5f65f6451937;Dropout Inference in Bayesian Neural Networks with Alpha-divergences
062bcf2be2bb4107a6bbb313557715e5;End-to-End Learning of Semantic Grasping
062e1a3234704dd7afde8c88783b58d7;The Malgrange Form and Fredholm Determinants
064377837fca42bc975d4b552ed8fd0c;Robust Regression via Mutivariate Regression Depth
06486e26a5f4440ca97060c9b0c69856;Probabilistic Constraints on the Mass and Composition of Proxima b
064b268ed922439d99a485428c1b8abf;The Dynamic Geometry of Interaction Machine: A Call-by-need Graph Rewriter
0653052016ca4d89a9bccff0338e32a0;Beyond recursion operators
06738b6446034cd988981f924aae5f57;
06799a4cb78c4a34b6504597db342980;On Chern number inequality in dimension 3
06910057206a499885d916b33bb635ad;A glass-box interactive machine learning approach for solving NP-hard problems with the human-in-the-loop
06918115c0eb41c09c1c048e64e5e050;Transport signatures of topological superconductivity in a proximity-coupled nanowire
06a01f979c684860b4badcbf71b57449;Graph Convolution: A High-Order and Adaptive Approach
06b533ee5cc9439cb853d9c7141c7ce3;List Decoding of Insertions and Deletions
06b6d50ea8bb4977b1fde7acaceeed41;"Time Series Anomaly Detection; Detection of anomalous drops with limited features and sparse examples in noisy highly periodic data"
